team_name,player_name,player_batLR,opponents,pitcherLR,runners,strikes,pitch_course,pitch_type,pitch_height,hit_type,x_coord,y_coord
関西大学.csv,笠井康生,左,京大以外,右,なし,2,外,チェンジアップ,真中,ゴロ,327,331
関西大学.csv,山本峻輔,左,京大以外,右,なし,1,真中,ストレート,低め,フライ,403,97
関西大学.csv,余河航太,左,京大以外,右,1塁,0,真中,ストレート,真中,ライナー,293,357
立命館大学.csv,築山隆翔,左,京大以外,左,なし,2,真中,ストレート,真中,ゴロ,462,352
立命館大学.csv,川端一正,左,京大以外,左,なし,0,内,ストレート,低め,ライナー,156,695
立命館大学.csv,川端一正,左,京大以外,左,なし,1,外,ストレート,高め,フライ,247,743
立命館大学.csv,川端一正,左,京大以外,左,なし,2,外,ストレート,真中,ライナー,168,689
立命館大学.csv,川端一正,左,京大以外,左,なし,2,真中,ストレート,低め,フライ,13,369
立命館大学.csv,川端一正,左,京大以外,左,なし,2,真中,ストレート,高め,フライ,299,184
立命館大学.csv,岩間倫太朗,左,京大以外,左,なし,1,外,スライダー,低め,ゴロ,345,334
関西大学.csv,森内大奈,右,京大以外,左,なし,1,真中,ストレート,真中,フライ,574,354
関西大学.csv,渡邊貫太,左,京大以外,左,なし,0,真中,ストレート,真中,ゴロ,418,330
立命館大学.csv,星野大和,右,京大以外,左,なし,1,真中,スライダー,低め,ゴロ,165,681
立命館大学.csv,福井一颯,右,京大以外,左,なし,1,外,フォーク,低め,ゴロ,239,425
立命館大学.csv,丸岡優太,右,京大以外,左,なし,0,外,カーブ,真中,ゴロ,346,316
立命館大学.csv,田中隼人,右,京大以外,左,得点圏,1,外,ストレート,高め,ライナー,404,727
関西大学.csv,山田悠平,右,京大以外,左,なし,0,外,ストレート,真中,ゴロ,376,487
関西大学.csv,笠井康生,左,京大以外,左,なし,1,内,スライダー,高め,ゴロ,376,633
関西大学.csv,鹿熊大誠,右,京大以外,左,なし,1,外,フォーク,低め,ゴロ,572,491
関西大学.csv,鹿熊大誠,右,京大以外,左,なし,2,内,ストレート,高め,フライ,680,448
関西大学.csv,鹿熊大誠,右,京大以外,左,なし,2,外,フォーク,真中,ゴロ,529,436
立命館大学.csv,加藤優翔,右,京大以外,左,なし,0,真中,ストレート,真中,フライ,410,722
立命館大学.csv,加藤優翔,右,京大以外,左,なし,2,真中,ストレート,高め,フライ,310,610
立命館大学.csv,築山隆翔,左,京大以外,左,なし,0,真中,ストレート,低め,ライナー,142,691
立命館大学.csv,築山隆翔,左,京大以外,左,なし,1,真中,ストレート,高め,ライナー,303,722
立命館大学.csv,築山隆翔,左,京大以外,左,なし,2,内,ストレート,低め,フライ,300,743
立命館大学.csv,築山隆翔,左,京大以外,左,なし,2,真中,ストレート,低め,ゴロ,456,348
関西大学.csv,小谷太誠,左,京大以外,左,なし,0,真中,スライダー,高め,ゴロ,559,435
関西大学.csv,森内大奈,右,京大以外,左,なし,0,外,フォーク,低め,ゴロ,368,468
立命館大学.csv,川端一正,左,京大以外,左,なし,1,真中,ストレート,真中,ライナー,295,347
立命館大学.csv,岩間倫太朗,左,京大以外,左,なし,1,真中,ストレート,高め,ゴロ,6,657
立命館大学.csv,岩間倫太朗,左,京大以外,左,なし,1,外,スライダー,低め,ゴロ,457,332
立命館大学.csv,星野大和,右,京大以外,左,なし,1,真中,スライダー,真中,ゴロ,257,445
関西大学.csv,渡邊貫太,左,京大以外,左,なし,2,外,ストレート,真中,フライ,14,375
関西大学.csv,下井田悠人,左,京大以外,左,なし,1,真中,フォーク,高め,フライ,125,691
関西大学.csv,下井田悠人,左,京大以外,左,なし,2,外,スライダー,低め,ゴロ,405,346
関西大学.csv,山田悠平,右,京大以外,左,1塁,0,外,フォーク,低め,ゴロ,361,330
関西大学.csv,笠井康生,左,京大以外,左,得点圏,0,内,スライダー,高め,ゴロ,206,665
関西大学.csv,笠井康生,左,京大以外,左,得点圏,1,真中,ストレート,真中,ゴロ,376,503
関西大学.csv,鹿熊大誠,右,京大以外,左,得点圏,0,真中,ストレート,真中,ライナー,456,725
関西大学.csv,鹿熊大誠,右,京大以外,左,得点圏,1,内,ストレート,真中,フライ,442,736
関西大学.csv,鹿熊大誠,右,京大以外,左,得点圏,2,外,ストレート,高め,ライナー,667,574
同志社大学.csv,齊藤佑征,左,京大以外,右,なし,0,真中,ストレート,低め,フライ,309,726
同志社大学.csv,中田爽太,左,京大以外,右,得点圏,1,真中,ストレート,真中,フライ,301,701
同志社大学.csv,中田爽太,左,京大以外,右,得点圏,2,真中,ストレート,真中,ライナー,373,505
同志社大学.csv,寺田賢生,左,京大以外,右,得点圏,0,真中,スライダー,低め,ゴロ,537,573
同志社大学.csv,寺田賢生,左,京大以外,右,得点圏,2,真中,ストレート,真中,ライナー,651,290
同志社大学.csv,大井海音,左,京大以外,左,1塁,1,真中,ストレート,高め,ライナー,88,527
同志社大学.csv,大井海音,左,京大以外,左,1塁,2,外,スライダー,高め,ゴロ,296,371
